"Source","Target","Weight"
"@CFinancialNews","#markets","82"
"@tmj_atl_finance","#alpharetta","3"
"@tmj_atl_finance","#careerarc","3"
"@tmj_atl_finance","#finance","3"
"@tmj_atl_finance","#hiring","3"
"@tmj_atl_finance","#job","3"
"@tmj_atl_finance","#jobs","1"
"@Peter_Binary","#finance","1"
"@Peter_Binary","#news","1"
"@carlabsinc","#technology","1"
"@kebridgeforth","@youtube","18"
"@gonxier","#bitcoin","38"
"@gonxier","#crypto","36"
"@gonxier","#free","36"
"@gonxier","#money","43"
"@gonxier","#stock","37"
"@BanyanHill","#economy","3"
"@BanyanHill","#money","3"
"@BanyanHill","#retirement","3"
"@BanyanHill","#robinhood","3"
"@BanyanHill","#stockmarket","3"
"@BanyanHill","#stocks","2"
"@BanyanHill","#trading","3"
"@OTC_U_Know_Me","@tdameritrade","1"
"@mitch29479","#broker","1"
"@mitch29479","#fridayfeeling","3"
"@mitch29479","#investing","6"
"@mitch29479","#stock","2"
"@mitch29479","#stockmarket","3"
"@mitch29479","#stocks","5"
"@digitaljami","#robinhood","1"
"@intercooleronli","#investing","19"
"@Mr_CaptnObvious","#binance","3"
"@Mr_CaptnObvious","#bitcointalk","3"
"@Mr_CaptnObvious","#blockchain","3"
"@Mr_CaptnObvious","#coinbase","3"
"@Mr_CaptnObvious","#coinmarketcap","3"
"@Mr_CaptnObvious","#cryptocurrency","3"
"@Mr_CaptnObvious","#icenter","3"
"@Mr_CaptnObvious","#investment","3"
"@Mr_CaptnObvious","#investors","3"
"@Mr_CaptnObvious","#kucoin","3"
"@Mr_CaptnObvious","#litebot","1"
"@Mr_CaptnObvious","#litecoin","3"
"@Mr_CaptnObvious","#ltcbot","2"
"@Mr_CaptnObvious","#poloniex","3"
"@Mr_CaptnObvious","#robinhood","3"
"@dachaney","@etrade","1"
"@Patrick_Neville","#etrade","1"
"@izaura_oficial","@adamhorowitzla","1"
"@izaura_oficial","#outlawqueen","1"
"@izaura_oficial","#robinhood","1"
"@TradeIdeas","@etrade","1"
"@TradeIdeas","@scottrade","4"
"@TradeIdeas","@tdameritrade","4"
"@cdatasoftware","@etrade","1"
"@cdatasoftware","#etrade","2"
"@colin_mshr","#binance","1"
"@colin_mshr","#coinbase","1"
"@colin_mshr","#crypto","1"
"@colin_mshr","#free","531"
"@colin_mshr","#investing","262"
"@colin_mshr","#robinhood","533"
"@colin_mshr","#stock","270"
"@DailyGawker","#wallstreet","2"
"@OWHmoney","@tdameritrade","1"
"@TopTickrs","#freestocks","101"
"@TopTickrs","#investing","110"
"@TopTickrs","#stocks","79"
"@TopTickrs","#trading","86"
"@RaheelAkhtar77","#investing","1"
"@RaheelAkhtar77","#roboadvisor","1"
"@RaheelAkhtar77","#wealthfront","1"
"@NewCommGlobal","@ellevest","1"
"@NewCommGlobal","#entrepreneurs","1"
"@NewCommGlobal","#women","1"
"@Zyclon7","#apple","29"
"@Zyclon7","#atlanta","7"
"@Zyclon7","#austin","2"
"@Zyclon7","#boston","2"
"@Zyclon7","#chicago","9"
"@Zyclon7","#dallas","9"
"@Zyclon7","#free","38"
