Id,Label,timeset,modularity_class
@33voices,@33voices,,23
@arachleff,@arachleff,,23
@fastcompany,@fastcompany,,8
@grauface,@grauface,,23
@wealthfront,@wealthfront,,23
@habitatomaha,@habitatomaha,,0
@tdameritrade,@tdameritrade,,0
@basketball10203,@basketball10203,,0
@jewlipina,@jewlipina,,8
@ellevest,@ellevest,,8
@Joelle9981,@Joelle9981,,16
"#mplusplaces","#mplusplaces",,16
@BColwell_ALT,@BColwell_ALT,,23
@acorns,@acorns,,23
@betterment,@betterment,,23
@robinhoodapp,@robinhoodapp,,4
@stash,@stash,,23
@stocktwits,@stocktwits,,12
"#betterment","#betterment",,23
"#currency","#currency",,23
"#data","#data",,9
"#etf","#etf",,23
"#etfs","#etfs",,23
"#fees","#fees",,23
"#finance","#finance",,9
"#financialadvisor","#financialadvisor",,23
"#fintech","#fintech",,23
"#funds","#funds",,6
"#investing","#investing",,26
"#investment","#investment",,23
"#portfolio","#portfolio",,23
"#realestate","#realestate",,23
"#robo","#robo",,23
"#roboadvisor","#roboadvisor",,23
"#roboadvisors","#roboadvisors",,23
"#stocks","#stocks",,5
"#tax","#tax",,23
"#tech","#tech",,5
"#usd","#usd",,3
"#wealth","#wealth",,18
"#wealthfront","#wealthfront",,23
"#wealthmanagement","#wealthmanagement",,23
@blues_fanly,@blues_fanly,,7
"#blues","#blues",,7
"#stlblues","#stlblues",,7
@marilyn53996904,@marilyn53996904,,17
@cdnchange,@cdnchange,,17
@michaelrosa1979,@michaelrosa1979,,12
"#business","#business",,12
@JaymacsPicks,@JaymacsPicks,,0
@thinkorswim,@thinkorswim,,0
"#chart","#chart",,0
"#mobiletrader","#mobiletrader",,0
@diversified_Inv,@diversified_Inv,,5
"#tdameritrade","#tdameritrade",,5
@mike12579,@mike12579,,0
@stockstreamtv,@stockstreamtv,,5
"#trading","#trading",,5
@BigMoneyTraders,@BigMoneyTraders,,5
"#broker","#broker",,5
"#daytrade","#daytrade",,5
"#daytrader","#daytrader",,5
"#etrade","#etrade",,1
"#optionshouse","#optionshouse",,5
"#review","#review",,5
"#swingtrade","#swingtrade",,5
"#wtfam","#wtfam",,5
@StudmanTrader,@StudmanTrader,,0
@christineoleary,@christineoleary,,26
"#robinhood","#robinhood",,26
@Blank_Power,@Blank_Power,,2
@etrade,@etrade,,2
@NewFreeSamples,@NewFreeSamples,,3
"#freemoney","#freemoney",,3
"#freestock","#freestock",,3
@NYStartupLab,@NYStartupLab,,12
"#entrepreneur","#entrepreneur",,12
"#startup","#startup",,19
"#womenintech","#womenintech",,12
@storminvestor,@storminvestor,,11
"#markets","#markets",,11
@Kupr_Olya,@Kupr_Olya,,5
@jdickler,@jdickler,,1
@bankofamerica,@bankofamerica,,1
"#thursdaythoughts","#thursdaythoughts",,1
@JayShah_PC,@JayShah_PC,,23
@personalcapital,@personalcapital,,23
"#insurance","#insurance",,23
@ForexBTC,@ForexBTC,,19
"#cryptotrading","#cryptotrading",,19
@amy_kitegirl,@amy_kitegirl,,0
@pistl,@pistl,,6
@scottrade,@scottrade,,6
@DayTradeWarrior,@DayTradeWarrior,,5
"#options","#options",,1
@scfm69,@scfm69,,0
@mKlyve,@mKlyve,,20
"#cws","#cws",,20
"#omaha","#omaha",,20
@rasorokina96675,@rasorokina96675,,11
"#best","#best",,11
"#is","#is",,11
"#option","#option",,11
@angelkings101,@angelkings101,,23
@Karlee_Scott,@Karlee_Scott,,23
"#banking","#banking",,23
"#bitcoin","#bitcoin",,19
@MossGlen,@MossGlen,,0
@MarkV231,@MarkV231,,23
"#invest","#invest",,23
"#market","#market",,23
"#money","#money",,23
@JQuality,@JQuality,,13
@youtube,@youtube,,13
@karainstem,@karainstem,,23
@Merlin333,@Merlin333,,1
@merrilledge,@merrilledge,,1
@AmericanBanking,@AmericanBanking,,5
"#amtd","#amtd",,5
"#etfc","#etfc",,5
"#schw","#schw",,5
@kelly7552,@kelly7552,,6
@fidelity,@fidelity,,6
@stlnews,@stlnews,,7
"#alltogethernowstl","#alltogethernowstl",,7
@angelaslanova,@angelaslanova,,26
"#stock","#stock",,26
@kelliegoldstein,@kelliegoldstein,,8
